Cement (kg/m3 ),Sand (kg/m3 ),Gravel (kg/m3 ),admixture kg/m3,SP kg/m3,water  kg/m3 ,VMA kg/m3,fc' 28 days
350,890,900,170,0,192.4,0,50.8
350,890,900,170,1.56,192.4,0,73.48
350,890,900,170,2.08,192.4,0,71.44
350,890,900,170,2.6,192.4,0,65.2
350,890,900,170,3.12,192.4,0,59.88
350,890,900,170,3.64,192.4,0,53.24
350,890,900,170,4.16,192.4,0,45.24
350,890,900,170,4.68,192.4,0,38.7
350,890,900,170,5.2,192.4,0,29.44
350,890,900,170,7.8,192.4,0,52
350,890,900,170,7.8,192.4,0,51
350,890,900,170,7.8,192.4,0,51
350,890,900,170,7.8,192.4,0,50.2
350,890,900,170,7.8,192.4,0,50
324,890,900,187.5,7.8,189.255,0,62
324,890,900,187.5,7.8,189.255,0,60.4
324,890,900,187.5,7.8,189.255,0,60
324,890,900,187.5,7.8,189.255,0,62.1
324,890,900,187.5,7.8,189.255,0,61.4
298,890,900,205,7.8,186.11,0,62.8
298,890,900,205,7.8,186.11,0,62
298,890,900,205,7.8,186.11,0,61.6
298,890,900,205,7.8,186.11,0,61.8
298,890,900,205,7.8,186.11,0,62.1
272,890,900,222.5,7.8,182.965,0,65.8
272,890,900,222.5,7.8,182.965,0,66.2
272,890,900,222.5,7.8,182.965,0,66.8
272,890,900,222.5,7.8,182.965,0,66.4
272,890,900,222.5,7.8,182.965,0,66.2
246,890,900,240,7.8,179.82,0,70
246,890,900,240,7.8,179.82,0,70.4
246,890,900,240,7.8,179.82,0,70.2
246,890,900,240,7.8,179.82,0,69.8
246,890,900,240,7.8,179.82,0,70.1
220,890,900,257.5,7.8,176.675,0,80.2
220,890,900,257.5,7.8,176.675,0,79.8
220,890,900,257.5,7.8,176.675,0,79
220,890,900,257.5,7.8,176.675,0,78.4
220,890,900,257.5,7.8,176.675,0,78.6
194,890,900,275,7.8,173.53,0,81.2
194,890,900,275,7.8,173.53,0,81
194,890,900,275,7.8,173.53,0,84.2
194,890,900,275,7.8,173.53,0,84
194,890,900,275,7.8,173.53,0,84
350,890,900,170,7.8,192.4,0.8665,60
350,890,900,170,7.8,192.4,0.8665,56.8
350,890,900,170,7.8,192.4,0.8665,56.8
350,890,900,170,7.8,192.4,0.8665,57.2
350,890,900,170,7.8,192.4,0.8665,60.2
350,890,900,170,7.8,192.4,1.733,66.5
350,890,900,170,7.8,192.4,1.733,65
350,890,900,170,7.8,192.4,1.733,65.2
350,890,900,170,7.8,192.4,1.733,65
350,890,900,170,7.8,192.4,1.733,64.2
350,890,900,170,7.8,192.4,2.5995,64
350,890,900,170,7.8,192.4,2.5995,64.2
350,890,900,170,7.8,192.4,2.5995,64.1
350,890,900,170,7.8,192.4,2.5995,64
350,890,900,170,7.8,192.4,2.5995,65
350,890,900,170,7.8,192.4,3.466,64.2
350,890,900,170,7.8,192.4,3.466,60.2
350,890,900,170,7.8,192.4,3.466,60.8
350,890,900,170,7.8,192.4,3.466,62.4
350,890,900,170,7.8,192.4,3.466,63.6
350,890,900,170,7.8,192.4,4.3325,62.5
350,890,900,170,7.8,192.4,4.3325,64
350,890,900,170,7.8,192.4,4.3325,63.2
350,890,900,170,7.8,192.4,4.3325,60
350,890,900,170,7.8,192.4,4.3325,60.4
350,890,900,170,7.8,192.4,5.199,63.8
350,890,900,170,7.8,192.4,5.199,60.8
350,890,900,170,7.8,192.4,5.199,61
350,890,900,170,7.8,192.4,5.199,61.2
350,890,900,170,7.8,192.4,5.199,62.8
416,893,736,124.2,8.8722,178.266,0,90.1
427,896,738,113.4,8.8722,178.332,0,89.43
437,897,740,102.6,8.8722,178.068,0,88.65
416,868,715,124.2,8.2998,178.266,0,96.1
427,871,718,113.4,8.2998,178.332,0,94.2
437,889,728,102.6,8.2998,178.068,0,93.8
389,891,734,151.2,8.8722,178.266,0,89.75
400,885,729,140.4,8.8722,178.332,0,87.16
410,907,748,129.6,8.8722,178.068,0,82.35
389,885,729,151.2,8.2998,178.266,0,92.2
400,891,734,140.4,8.2998,178.332,0,89.8
410,887,726,129.6,8.2998,178.068,0,88.2
362,880,725,178.2,8.8722,178.266,0,83.24
373,888,732,167.4,8.8722,178.332,0,79.19
383,887,731,156.6,8.8722,178.068,0,78.54
362,874,727,178.2,8.2998,178.266,0,85.5
373,886,730,167.4,8.2998,178.332,0,83.6
383,888,732,156.6,8.2998,178.068,0,80.05
416,893,736,124.2,8.8722,189.07,0,84.77
427,896,738,113.4,8.8722,189.14,0,82.27
437,897,740,102.6,8.8722,188.86,0,79.44
416,868,715,124.2,8.2998,189.07,0,90.1
427,871,718,113.4,8.2998,189.14,0,88.05
437,884,728,102.6,8.2998,188.86,0,85.15
389,891,734,151.2,8.8722,189.07,0,82.65
400,885,729,140.4,8.8722,189.14,0,81.15
410,907,748,129.6,8.8722,188.86,0,77.4
389,885,729,151.2,8.2998,189.07,0,82.6
400,891,734,140.4,8.2998,189.14,0,81.2
410,882,726,129.6,8.2998,188.86,0,80.6
362,880,725,178.2,8.8722,189.07,0,77.8
373,888,732,167.4,8.8722,189.14,0,75.8
383,887,731,156.6,8.8722,188.86,0,74.2
362,882,727,178.2,8.2998,189.07,0,80.05
373,886,730,167.4,8.2998,189.14,0,79
383,888,732,156.6,8.2998,188.86,0,78.6
416,893,736,124.2,8.8722,199.874,0,77.48
427,896,738,113.4,8.8722,199.948,0,75.45
437,897,740,102.6,8.8722,199.652,0,73.65
416,868,715,124.2,8.2998,199.874,0,79.77
427,871,718,113.4,8.2998,199.948,0,77.56
437,884,728,102.6,8.2998,199.652,0,75.32
389,891,734,151.2,8.8722,199.874,0,72.12
400,885,729,140.4,8.8722,199.948,0,69.54
410,907,748,129.6,8.8722,199.652,0,67.27
389,885,729,151.2,8.2998,199.874,0,73.14
400,891,734,140.4,8.2998,199.948,0,72.35
410,882,726,129.6,8.2998,199.652,0,70.67
362,880,725,178.2,8.8722,199.874,0,70.03
373,888,732,167.4,8.8722,199.948,0,66.78
383,887,731,156.6,8.8722,199.652,0,63.97
362,882,727,178.2,8.2998,199.874,0,71.23
373,886,730,167.4,8.2998,199.948,0,68.94
383,888,732,156.6,8.2998,199.652,0,65.67
480,883,903,0,6.332256,158.4,0,65.4
322,896,916,138,7.70592,151.8,0,70
368,890,910,92,9.969534,151.8,0,70.3
480,851,871,0,3.919968,182.4,0,59.3
322,867,885,138,5.249658,174.8,0,62.4
368,861,880,92,5.875764,174.8,0,56.2
480,883,903,0,9.448128,158.4,0,67
322,896,916,138,12.425796,151.8,0,74.4
368,890,910,92,13.100064,151.8,0,65.9
480,851,871,0,5.226624,182.4,0,63.6
322,867,885,138,6.550032,174.8,0,65.2
368,861,880,92,6.550032,174.8,0,63.7
480,883,903,0,8.493264,158.4,0,67.4
322,896,916,138,13.100064,151.8,0,72.8
368,890,910,92,15.074706,151.8,0,69.7
480,851,871,0,4.322016,182.4,0,59.4
322,867,885,138,6.02025,174.8,0,58.3
368,861,880,92,6.935328,174.8,0,61.5
480,883,903,0,7.186608,158.4,0,59.7
322,896,916,138,10.451154,151.8,0,65.9
368,890,910,92,13.100064,151.8,0,64.8
480,851,871,0,3.166128,182.4,0,47
322,867,885,138,5.77944,174.8,0,53.8
368,861,880,92,6.26106,174.8,0,51.3
368,890,910,92,15.700812,151.8,0,64.2
480,883,903,0,8.644032,158.4,0,63.2
322,896,916,138,13.870656,151.8,0,74.2
368,890,910,92,8.235702,151.8,0,71.5
480,883,903,0,5.879952,158.4,0,70
322,896,916,138,7.994892,151.8,0,77
322,867,885,138,7.46511,174.8,0,67.4
480,851,871,0,5.930208,182.4,0,58.1
368,861,880,92,8.235702,174.8,0,59.2
276,961,808,150,9.18,204,0.4242,31.64
276,961,808,155,9.936,204,0.4242,31.87
276,961,808,160,10.692,204,0.4343,31.14
276,961,808,165,11.34,204,0.4444,32.28
276,961,808,170,12.096,204,0.4545,32.87
276,961,808,175,12.852,204,0.4545,32.2
412,913,781,138,14.85,193,0.4848,52.9
412,913,781,145,15.66,193,0.4848,53.43
412,913,781,152,15.876,193,0.4848,54.05
412,913,781,159,16.47,193,0.4848,54.26
412,913,781,166,17.28,193,0.4848,53.52
412,913,781,173,18.576,193,0.4848,31.64
276,961,808,150,9.18,204,0.4242,31.7
276,961,808,155,9.936,204,0.4242,31.77
276,961,808,160,10.692,204,0.4343,31.82
276,961,808,165,11.34,204,0.4444,32.26
276,961,808,170,12.096,204,0.4545,31.71
276,961,808,175,12.852,204,0.4545,52.9
412,913,781,138,14.85,193,0.4646,52.28
412,913,781,145,15.66,193,0.4848,52.54
412,913,781,152,15.876,193,0.4848,52.98
412,913,781,159,16.47,193,0.4646,53.87
412,913,781,166,17.28,193,0.4848,52.94
412,913,781,173,18.576,193,0.4848,29.87
276,969,774,150,9.18,204,0.4242,30.58
276,969,774,170,12.096,204,0.4545,31.69
276,969,774,170,12.096,204,0.4545,28.24
276,978,735,150,9.18,204,0.4242,29.16
276,978,735,170,12.096,204,0.4545,30.12
276,978,735,170,12.096,204,0.4545,49.68
412,934,744,138,14.85,193,0.4646,50.64
412,934,744,166,17.28,193,0.4848,51.82
412,934,744,166,17.28,193,0.4848,47.06
412,944,707,138,14.85,193,0.4646,48.52
412,944,707,166,17.28,193,0.4848,49.26
412,944,707,166,17.28,193,0.4848,67.58
430,1050,715,100,5.4,185,0.606,65.19
430,1050,700,100,5.4,185,0.606,64.18
430,1100,690,100,5.4,185,0.606,68.53
430,1050,715,110,6.48,185,0.707,66.25
430,1050,700,110,7.236,185,0.707,65.38
430,1100,690,115,7.56,185,0.7575,68.12
430,1050,715,110,7.02,185,0.707,65.61
430,1050,700,110,7.56,185,0.707,64.75
430,1100,690,120,8.1,185,0.7575,37
340,920,815,75,7.56,190,0.505,34.9
340,920,800,75,7.56,190,0.505,32.5
340,950,795,75,7.56,190,0.505,32.5
340,920,815,85,8.64,190,0.505,37.25
340,950,800,85,8.64,190,0.505,35.31
340,950,795,90,8.64,190,0.505,32.78
340,920,815,90,8.64,190,0.505,36.85
340,920,800,100,9.18,190,0.505,35.19
340,950,795,100,9.18,190,0.505,32.46
360,920,815,100,8.64,180,0.505,42
360,935,790,100,8.64,180,0.505,40.7
360,945,815,110,8.64,180,0.505,38.5
360,920,790,110,9.18,180,0.606,42.46
360,935,790,120,9.18,180,0.606,41.25
360,945,815,120,9.18,180,0.606,38.95
360,920,790,120,9.72,180,0.606,42.12
360,935,790,180,9.72,180,0.606,40.98
360,945,790,180,9.72,180,0.606,38.54
440,920,815,180,7.56,210,0.707,55
440,940,780,180,7.56,210,0.707,53.72
440,955,780,185,7.56,210,0.707,51.4
440,920,815,190,8.1,210,0.707,55.45
440,940,780,190,8.1,210,0.707,54.03
440,955,780,190,8.64,210,0.707,51.89
440,920,815,190,8.64,210,0.707,55.26
440,940,780,70,9.18,210,0.707,53.72
440,955,780,70,9.18,210,0.707,51.69
500,840,870,70,8.964,198,0.7575,68
500,855,830,80,8.964,198,0.7575,67
500,870,830,80,8.964,198,0.7575,65.3
500,840,870,85,9.72,198,0.7575,68.5
500,855,830,85,9.72,198,0.7575,67.67
500,870,830,85,9.72,198,0.7575,65.1
500,840,870,85,9.72,198,0.7575,67.29
500,855,840,85,9.72,198,0.7575,65
500,870,840,85,9.72,198,0.7575,64.86
440,840,870,85,9.72,187,0.808,59
440,860,840,90,9.72,187,0.808,57.7
440,875,840,90,9.72,187,0.808,55.4
440,840,870,95,10.8,187,0.808,59.7
440,860,840,95,10.8,187,0.808,58.51
440,875,840,95,10.8,187,0.808,55.96
440,840,870,95,10.8,187,0.808,59.41
440,860,840,95,10.8,187,0.808,58.26
440,875,840,95,10.8,187,0.808,55.67
460,840,870,70,9.936,183,0.909,63
460,865,850,70,9.936,183,0.909,60.9
460,880,850,70,9.936,183,0.909,58.9
460,840,870,80,10.476,183,0.909,63.6
460,865,850,80,10.476,183,0.909,61.45
460,880,850,80,10.476,183,0.909,64.48
460,840,870,80,10.476,183,0.909,63.27
460,865,850,80,10.476,183,0.909,61.29
460,880,850,80,10.476,183,0.909,64.13
225,898,865,0,4.5,179,0.315,33.94
231,864,862,0,4.62,175,0.37,38.9
258,836,835,0,5.16,176,0.413,41.21
330,827,826,0,5.5,176,0.44,45.95
360,796,797,0,6,180,0.48,53
360,813,812,0,6,168,0.48,56
400,785,785,0,9.75,172,0.46,61.64
450,760,760,0,11.2,174,0.49,66.29
390,874,881,0,9.75,156,0,25.5
384,836,863,38,9.216,211.2,0,29
310,1018,667,0,6,170,0,51.2
315,1025,673,0,5.51,173,0,50.7
320,1016,687,0,5.21,174,0,53.6
330.36,875.16,739.44,0,5.97,179.74,0.92,48.4
330.85,857.57,739.44,0,6.02,180.05,0.97,57.3
331.33,840,739.44,0,6.08,180.38,1.03,63.8
330.36,875.16,754.18,0,6.08,180.05,1.03,61.3
330.85,857.57,754.18,0,5.97,180.38,0.92,50.45
331.33,840,754.18,0,6.02,179.74,0.97,53.1
330.85,875.16,768.88,0,6.02,180.38,1.03,61.1
331.33,857.57,768.88,0,6.08,179.74,0.92,55.9
330.36,840,768.88,0,5.97,180.05,0.97,55.3
331.33,875.16,739.44,0,6.02,180.05,0.92,57.3
330.36,857.57,739.44,0,6.08,180.38,0.97,65.6
330.85,840,739.44,0,5.97,179.74,1.03,53.6
330.85,875.16,754.18,0,6.08,179.74,0.97,52.9
331.33,857.57,754.18,0,5.97,180.05,1.03,47.3
330.36,840,754.18,0,6.02,180.38,0.92,59.26
331.33,875.16,768.88,0,5.97,180.38,0.97,51.53
330.36,857.57,768.88,0,6.02,179.74,1.03,56.6
330.85,840,768.88,0,6.08,180.05,0.92,58.45
540,900,750,0,12,200,0,78.05
420,900,750,0,12,192,0,79.19
570,900,750,30,12,200,0,80.42
540,900,750,60,12,192,0,79.18
540,900,750,0,12,209,0,77.82
510,900,750,0,12,209,0,77.15
360,900,750,60,12,200,0,70.67
360,900,750,0,12,200,0,73.7
